,p0q0
178,0.121
179,0.121
180,0.121
181,0.121
182,0.121
183,0.121
184,0.121
185,0.121
186,0.121
187,0.121
188,0.121
189,0.121
190,0.121
191,0.121
192,0.121
193,0.268
194,0.261
195,0.251
196,0.251
197,0.261
198,0.225
199,0.254
200,0.221
201,0.27
202,0.234
203,0.267
204,0.242
205,0.271
206,0.269
207,0.287
208,0.236
209,0.235
210,0.247
211,0.277
212,0.285
213,0.227
214,0.3
215,0.291
216,0.255
217,0.154
218,0.148
219,0.193
220,0.155
221,0.174
222,0.136
223,0.142
224,0.136
225,0.171
226,0.136
227,0.154
228,0.136
229,0.171
230,0.142
231,0.179
232,0.183
233,0.133
234,0.171
235,0.171
236,0.142
237,0.121
238,0.122
239,0.172
240,0.171
241,0.134
242,0.128
243,0.16
244,0.128
245,0.146
246,0.117
247,0.122
248,0.115
249,0.136
250,0.118
251,0.128
252,0.117
253,0.136
254,0.126
255,0.145
256,0.151
257,0.119
258,0.136
259,0.136
260,0.126
261,0.11
262,0.108
263,0.136
264,0.141
265,0.424
266,0.289
267,0.384
268,0.328
269,0.302
270,0.273
271,0.308
272,0.321
273,0.326
274,0.303
275,0.292
276,0.394
277,0.298
278,0.336
279,0.305
280,0.277
281,0.296
282,0.29
283,0.32
284,0.284
285,0.345
286,0.285
287,0.305
288,0.331
289,0.369
290,0.465
291,0.286
292,0.39
293,0.414
294,0.426
295,0.393
296,0.354
297,0.291
298,0.41
299,0.364
300,0.385
301,0.326
302,0.326
303,0.432
304,0.362
305,0.42
306,0.358
307,0.339
308,0.316
309,0.297
310,0.397
311,0.326
312,0.383
313,0.371
314,0.346
315,0.365
316,0.4
317,0.479
318,0.344
319,0.387
320,0.298
321,0.445
322,0.462
323,0.354
324,0.306
325,0.54
326,0.414
327,0.386
328,0.326
329,0.306
330,0.42
331,0.342
332,0.412
333,0.362
334,0.328
335,0.336
336,0.323
337,0.368
338,0.331
339,0.387
340,0.333
341,0.37
342,0.351
343,0.396
344,0.491
345,0.364
346,0.338
347,0.302
348,0.361
349,0.354
350,0.292
351,0.255
352,0.323
353,0.312
354,0.293
355,0.309
356,0.324
357,0.425
358,0.301
359,0.313
360,0.304
361,0.238
362,0.26
363,0.267
364,0.342
365,0.266
366,0.322
367,0.334
368,0.288
369,0.312
370,0.353
371,0.402
372,0.299
373,0.372
374,0.314
375,0.33
376,0.28
377,0.283
378,0.227
379,0.273
380,0.284
381,0.285
382,0.255
383,0.248
384,0.375
385,0.281
386,0.287
387,0.282
388,0.221
389,0.25
390,0.23
391,0.302
392,0.255
393,0.277
394,0.25
395,0.265
396,0.286
397,0.308
398,0.4
399,0.256
400,0.282
401,0.253
402,0.226
403,0.192
404,0.221
405,0.163
406,0.193
407,0.2
408,0.195
409,0.187
410,0.198
411,0.212
412,0.191
413,0.192
414,0.197
415,0.183
416,0.187
417,0.164
418,0.202
419,0.183
420,0.194
421,0.188
422,0.196
423,0.187
424,0.215
425,0.292
426,0.18
427,0.213
428,0.191
429,0.152
430,0.131
431,0.16
432,0.113
433,0.132
434,0.14
435,0.139
436,0.139
437,0.142
438,0.138
439,0.142
440,0.146
441,0.133
442,0.122
443,0.138
444,0.119
445,0.139
446,0.121
447,0.129
448,0.126
449,0.133
450,0.131
451,0.152
452,0.219
453,0.121
454,0.102
455,0.116
456,0.099
457,0.103
458,0.113
459,0.098
460,0.095
461,0.102
462,0.094
463,0.12
464,0.101
465,0.101
466,0.097
467,0.121
468,0.116
469,0.12
470,0.106
471,0.105
472,0.1
473,0.101
474,0.124
475,0.1
476,0.104
477,0.108
478,0.105
479,0.125
480,0.088
481,0.329
482,0.271
483,0.397
484,0.482
485,0.323
486,0.271
487,0.423
488,0.372
489,0.353
490,0.29
491,0.266
492,0.4
493,0.335
494,0.39
495,0.33
496,0.302
497,0.3
498,0.299
499,0.336
500,0.328
501,0.345
502,0.31
503,0.338
504,0.346
505,0.367
506,0.447
507,0.323
508,0.182
509,0.176
510,0.161
511,0.147
512,0.178
513,0.115
514,0.139
515,0.143
516,0.165
517,0.161
518,0.157
519,0.161
520,0.159
521,0.159
522,0.156
523,0.147
524,0.16
525,0.148
526,0.145
527,0.147
528,0.149
529,0.129
530,0.152
531,0.14
532,0.153
533,0.181
534,0.134
535,0.177
536,0.172
537,0.154
538,0.132
539,0.152
540,0.103
541,0.133
542,0.135
543,0.142
544,0.145
545,0.141
546,0.135
547,0.138
548,0.153
549,0.136
550,0.125
551,0.144
552,0.121
553,0.134
554,0.124
555,0.133
556,0.122
557,0.132
558,0.133
559,0.146
560,0.18
561,0.122
562,0.237
563,0.214
564,0.237
565,0.182
566,0.235
567,0.201
568,0.204
569,0.198
570,0.19
571,0.214
572,0.24
573,0.217
574,0.237
575,0.213
576,0.221
577,0.219
578,0.154
579,0.204
580,0.184
581,0.181
582,0.215
583,0.204
584,0.2
585,0.189
586,0.197
587,0.213
588,0.28
589,0.272
590,0.29
591,0.197
592,0.289
593,0.262
594,0.233
595,0.248
596,0.227
597,0.25
598,0.279
599,0.239
600,0.291
601,0.259
602,0.286
603,0.255
604,0.183
605,0.262
606,0.203
607,0.21
608,0.262
609,0.252
610,0.246
611,0.215
612,0.251
613,0.232
614,0.267
615,0.341
616,0.285
617,0.209
618,0.324
619,0.264
620,0.273
621,0.25
622,0.24
623,0.251
624,0.319
625,0.239
626,0.323
627,0.253
628,0.295
629,0.252
630,0.187
631,0.239
632,0.213
633,0.22
634,0.265
635,0.236
636,0.244
637,0.254
638,0.263
639,0.234
640,0.263
641,0.235
642,0.277
643,0.177
644,0.25
645,0.21
646,0.223
647,0.211
648,0.206
649,0.218
650,0.243
651,0.211
652,0.267
653,0.231
654,0.239
655,0.226
656,0.152
657,0.215
658,0.187
659,0.182
660,0.232
661,0.221
662,0.205
663,0.189
664,0.216
665,0.23
666,0.2
667,0.201
668,0.209
669,0.184
670,0.211
671,0.185
672,0.196
673,0.186
674,0.178
675,0.196
676,0.211
677,0.208
678,0.223
679,0.189
680,0.21
681,0.189
682,0.138
683,0.179
684,0.17
685,0.178
686,0.185
687,0.18
688,0.189
689,0.14
690,0.184
691,0.201
692,0.138
693,0.156
694,0.143
695,0.146
696,0.151
697,0.135
698,0.155
699,0.141
700,0.144
701,0.15
702,0.161
703,0.147
704,0.184
705,0.143
706,0.163
707,0.142
708,0.128
709,0.14
710,0.114
711,0.136
712,0.148
713,0.129
714,0.136
715,0.121
716,0.147
717,0.154
718,0.102
719,0.127
720,0.106
721,0.117
722,0.131
723,0.108
724,0.121
725,0.107
726,0.107
727,0.121
728,0.115
729,0.116
730,0.141
731,0.11
732,0.128
733,0.114
734,0.111
735,0.109
736,0.106
737,0.108
738,0.115
739,0.092
740,0.114
741,0.101
742,0.123
743,0.114
744,0.086
745,0.114
746,0.095
747,0.103
748,0.111
749,0.1
750,0.097
751,0.099
752,0.098
753,0.104
754,0.097
755,0.1
756,0.098
757,0.101
758,0.118
759,0.098
760,0.093
761,0.1
762,0.099
763,0.103
764,0.098
765,0.092
766,0.095
767,0.116
768,0.1
769,0.118
770,0.247
771,0.283
772,0.257
773,0.229
774,0.297
775,0.272
776,0.27
777,0.271
778,0.243
779,0.237
780,0.28
781,0.231
782,0.29
783,0.233
784,0.279
785,0.223
786,0.191
787,0.225
788,0.233
789,0.218
790,0.239
791,0.228
792,0.262
793,0.222
794,0.252
795,0.232
796,0.151
797,0.177
798,0.146
799,0.151
800,0.165
801,0.129
802,0.148
803,0.134
804,0.148
805,0.143
806,0.157
807,0.159
808,0.173
809,0.147
810,0.161
811,0.138
812,0.147
813,0.143
814,0.112
815,0.142
816,0.145
817,0.119
818,0.153
819,0.14
820,0.15
821,0.158
822,0.119
823,0.15
824,0.125
825,0.126
826,0.147
827,0.11
828,0.13
829,0.12
830,0.127
831,0.13
832,0.134
833,0.13
834,0.146
835,0.12
836,0.135
837,0.121
838,0.126
839,0.123
840,0.112
841,0.12
842,0.121
843,0.114
844,0.121
845,0.116
846,0.134
847,0.134
848,0.085
849,0.08
850,0.085
851,0.081
852,0.083
853,0.088
854,0.089
855,0.097
856,0.081
857,0.107
858,0.081
859,0.082
860,0.09
861,0.082
862,0.082
863,0.09
864,0.078
865,0.076
866,0.087
867,0.079
868,0.077
869,0.059
870,0.076
871,0.083
872,0.073
873,0.122
874,0.103
875,0.117
876,0.103
877,0.115
878,0.102
879,0.115
880,0.121
881,0.107
882,0.141
883,0.121
884,0.101
885,0.129
886,0.114
887,0.11
888,0.123
889,0.1
890,0.101
891,0.111
892,0.098
893,0.078
894,0.073
895,0.088
896,0.111
897,0.087
898,0.154
899,0.145
900,0.149
901,0.136
902,0.148
903,0.133
904,0.177
905,0.16
906,0.168
907,0.218
908,0.178
909,0.137
910,0.173
911,0.16
912,0.164
913,0.186
914,0.134
915,0.164
916,0.191
917,0.127
918,0.102
919,0.109
920,0.134
921,0.149
922,0.129
923,0.056
924,0.055
925,0.048
926,0.052
927,0.058
928,0.055
929,0.054
930,0.058
931,0.059
932,0.061
933,0.056
934,0.056
935,0.059
936,0.055
937,0.056
938,0.055
939,0.07
940,0.068
941,0.068
942,0.075
943,0.052
944,0.072
945,0.07
946,0.052
947,0.051
948,0.063
949,0.064
950,0.06
951,0.062
952,0.059
953,0.064
954,0.065
955,0.059
956,0.065
957,0.071
958,0.066
959,0.068
960,0.064
961,0.068
962,0.067
963,0.06
964,0.06
965,0.053
966,0.073
967,0.078
968,0.08
969,0.08
970,0.071
971,0.078
972,0.08
973,0.071
974,0.075
975,0.074
976,0.08
977,0.079
978,0.079
979,0.08
980,0.078
981,0.076
982,0.075
983,0.067
984,0.131
985,0.108
986,0.127
987,0.108
988,0.125
989,0.105
990,0.142
991,0.134
992,0.124
993,0.163
994,0.139
995,0.107
996,0.14
997,0.124
998,0.124
999,0.143
1000,0.108
1001,0.125
1002,0.137
1003,0.104
1004,0.081
1005,0.082
1006,0.099
1007,0.119
1008,0.1
1009,0.179
1010,0.177
1011,0.179
1012,0.169
1013,0.184
1014,0.171
1015,0.192
1016,0.192
1017,0.182
1018,0.213
1019,0.188
1020,0.163
1021,0.208
1022,0.21
1023,0.196
1024,0.181
1025,0.182
1026,0.184
1027,0.226
1028,0.175
1029,0.152
1030,0.151
1031,0.192
1032,0.19
1033,0.166
1034,0.107
1035,0.104
1036,0.105
1037,0.105
1038,0.105
1039,0.104
1040,0.108
1041,0.103
1042,0.104
1043,0.106
1044,0.107
1045,0.105
1046,0.102
1047,0.104
1048,0.102
1049,0.104
1050,0.105
1051,0.105
1052,0.105
1053,0.106
1054,0.092
1055,0.107
1056,0.091
1057,0.092
1058,0.085
1059,0.103
1060,0.079
1061,0.1
1062,0.103
1063,0.098
1064,0.092
1065,0.097
1066,0.092
1067,0.087
1068,0.102
1069,0.167
1070,0.1
1071,0.171
1072,0.096
1073,0.086
1074,0.103
1075,0.095
1076,0.084
1077,0.101
1078,0.107
1079,0.136
1080,0.154
1081,0.149
1082,0.14
1083,0.142
1084,0.125
1085,0.116
1086,0.111
1087,0.129
1088,0.109
1089,0.139
1090,0.153
1091,0.132
1092,0.129
1093,0.128
1094,0.133
1095,0.113
1096,0.144
1097,0.19
1098,0.132
1099,0.201
1100,0.12
1101,0.118
1102,0.136
1103,0.138
1104,0.116
1105,0.136
1106,0.139
1107,0.154
1108,0.225
1109,0.209
1110,0.211
1111,0.218
1112,0.197
1113,0.2
1114,0.187
1115,0.219
1116,0.151
1117,0.223
1118,0.211
1119,0.209
1120,0.198
1121,0.226
1122,0.221
1123,0.193
1124,0.191
1125,0.291
1126,0.205
1127,0.268
1128,0.157
1129,0.195
1130,0.223
1131,0.182
1132,0.147
1133,0.198
1134,0.229
1135,0.225
1136,0.067
1137,0.062
1138,0.059
1139,0.062
1140,0.06
1141,0.066
1142,0.049
1143,0.059
1144,0.046
1145,0.059
1146,0.062
1147,0.058
1148,0.058
1149,0.071
1150,0.058
1151,0.062
1152,0.064
1153,0.169
1154,0.055
1155,0.115
1156,0.044
1157,0.044
1158,0.07
1159,0.061
1160,0.05
1161,0.043
1162,0.105
1163,0.081
1164,0.075
1165,0.074
1166,0.064
1167,0.077
1168,0.064
1169,0.069
1170,0.066
1171,0.067
1172,0.061
1173,0.074
1174,0.079
1175,0.067
1176,0.077
1177,0.077
1178,0.066
1179,0.064
1180,0.069
1181,0.114
1182,0.064
1183,0.131
1184,0.067
1185,0.065
1186,0.066
1187,0.07
1188,0.064
1189,0.067
1190,0.079
1191,0.066
1192,0.091
1193,0.086
1194,0.083
1195,0.087
1196,0.082
1197,0.087
1198,0.083
1199,0.087
1200,0.08
1201,0.086
1202,0.09
1203,0.082
1204,0.09
1205,0.086
1206,0.083
1207,0.078
1208,0.091
1209,0.159
1210,0.083
1211,0.132
1212,0.086
1213,0.075
1214,0.083
1215,0.088
1216,0.082
1217,0.079
1218,0.09
1219,0.075
1220,0.179
1221,0.179
1222,0.158
1223,0.159
1224,0.153
1225,0.15
1226,0.139
1227,0.157
1228,0.137
1229,0.167
1230,0.172
1231,0.155
1232,0.149
1233,0.159
1234,0.158
1235,0.14
1236,0.152
1237,0.246
1238,0.155
1239,0.221
1240,0.133
1241,0.144
1242,0.167
1243,0.151
1244,0.115
1245,0.155
1246,0.184
1247,0.18
1248,0.258
1249,0.267
1250,0.231
1251,0.237
1252,0.228
1253,0.229
1254,0.211
1255,0.247
1256,0.193
1257,0.257
1258,0.241
1259,0.234
1260,0.227
1261,0.253
1262,0.252
1263,0.212
1264,0.232
1265,0.36
1266,0.255
1267,0.312
1268,0.194
1269,0.219
1270,0.265
1271,0.211
1272,0.193
1273,0.224
1274,0.261
1275,0.26
1276,0.092
1277,0.093
1278,0.096
1279,0.096
1280,0.097
1281,0.093
1282,0.099
1283,0.1
1284,0.096
1285,0.096
1286,0.091
1287,0.1
1288,0.096
1289,0.101
1290,0.098
1291,0.098
1292,0.096
1293,0.097
1294,0.103
1295,0.113
1296,0.104
1297,0.086
1298,0.101
1299,0.102
1300,0.098
1301,0.089
1302,0.094
1303,0.1
1304,0.177
1305,0.171
1306,0.15
1307,0.177
1308,0.15
1309,0.159
1310,0.155
1311,0.166
1312,0.15
1313,0.17
1314,0.129
1315,0.17
1316,0.166
1317,0.163
1318,0.158
1319,0.155
1320,0.146
1321,0.13
1322,0.126
1323,0.143
1324,0.142
1325,0.164
1326,0.137
1327,0.152
1328,0.143
1329,0.168
1330,0.177
1331,0.249
1332,0.238
1333,0.233
1334,0.237
1335,0.2
1336,0.206
1337,0.244
1338,0.237
1339,0.231
1340,0.235
1341,0.202
1342,0.242
1343,0.256
1344,0.239
1345,0.228
1346,0.229
1347,0.216
1348,0.192
1349,0.21
1350,0.195
1351,0.181
1352,0.222
1353,0.193
1354,0.209
1355,0.194
1356,0.233
1357,0.239
1358,0.348
1359,0.271
1360,0.288
1361,0.316
1362,0.271
1363,0.283
1364,0.263
1365,0.292
1366,0.31
1367,0.28
1368,0.3
1369,0.333
1370,0.318
1371,0.298
1372,0.292
1373,0.302
1374,0.295
1375,0.234
1376,0.279
1377,0.25
1378,0.256
1379,0.313
1380,0.259
1381,0.272
1382,0.269
1383,0.296
1384,0.279
1385,0.115
1386,0.127
1387,0.124
1388,0.117
1389,0.105
1390,0.115
1391,0.101
1392,0.117
1393,0.099
1394,0.106
1395,0.087
1396,0.105
1397,0.105
1398,0.109
1399,0.109
1400,0.112
1401,0.115
1402,0.096
1403,0.085
1404,0.082
1405,0.1
1406,0.106
1407,0.097
1408,0.096
1409,0.072
1410,0.125
1411,0.099
1412,0.118
1413,0.107
1414,0.104
1415,0.103
1416,0.117
1417,0.105
1418,0.117
1419,0.107
1420,0.094
1421,0.096
1422,0.084
1423,0.099
1424,0.105
1425,0.103
1426,0.099
1427,0.102
1428,0.095
1429,0.09
1430,0.085
1431,0.089
1432,0.097
1433,0.098
1434,0.121
1435,0.092
1436,0.09
1437,0.128
1438,0.096
1439,0.114
1440,0.118
1441,0.114
1442,0.117
1443,0.103
1444,0.114
1445,0.097
1446,0.122
1447,0.102
1448,0.122
1449,0.088
1450,0.097
1451,0.113
1452,0.112
1453,0.106
1454,0.11
1455,0.104
1456,0.093
1457,0.088
1458,0.101
1459,0.102
1460,0.107
1461,0.108
1462,0.101
1463,0.09
1464,0.118
1465,0.101
1466,0.291
1467,0.231
1468,0.255
1469,0.267
1470,0.23
1471,0.242
1472,0.243
1473,0.272
1474,0.265
1475,0.249
1476,0.246
1477,0.289
1478,0.291
1479,0.272
1480,0.269
1481,0.267
1482,0.255
1483,0.204
1484,0.245
1485,0.216
1486,0.221
1487,0.272
1488,0.225
1489,0.237
1490,0.228
1491,0.25
1492,0.257
1493,0.357
1494,0.314
1495,0.327
1496,0.349
1497,0.282
1498,0.322
1499,0.299
1500,0.294
1501,0.303
1502,0.317
1503,0.31
1504,0.344
1505,0.325
1506,0.289
1507,0.321
1508,0.314
1509,0.327
1510,0.257
1511,0.294
1512,0.281
1513,0.276
1514,0.338
1515,0.306
1516,0.285
1517,0.27
1518,0.276
1519,0.289
1520,0.108
1521,0.111
1522,0.106
1523,0.091
1524,0.099
1525,0.099
1526,0.099
1527,0.104
1528,0.126
1529,0.108
1530,0.102
1531,0.102
1532,0.099
1533,0.104
1534,0.091
1535,0.099
1536,0.131
1537,0.101
1538,0.104
1539,0.103
1540,0.085
1541,0.091
1542,0.102
1543,0.091
1544,0.092
1545,0.101
1546,0.105
1547,0.183
1548,0.196
1549,0.192
1550,0.226
1551,0.175
1552,0.223
1553,0.173
1554,0.19
1555,0.195
1556,0.197
1557,0.202
1558,0.175
1559,0.165
1560,0.171
1561,0.151
1562,0.175
1563,0.185
1564,0.181
1565,0.188
1566,0.158
1567,0.137
1568,0.147
1569,0.168
1570,0.174
1571,0.205
1572,0.195
1573,0.191
1574,0.271
1575,0.251
1576,0.244
1577,0.297
1578,0.2
1579,0.303
1580,0.256
1581,0.272
1582,0.235
1583,0.258
1584,0.279
1585,0.219
1586,0.22
1587,0.238
1588,0.21
1589,0.197
1590,0.231
1591,0.237
1592,0.242
1593,0.196
1594,0.168
1595,0.201
1596,0.261
1597,0.243
1598,0.255
1599,0.237
1600,0.268
1601,0.366
1602,0.341
1603,0.335
1604,0.376
1605,0.288
1606,0.399
1607,0.351
1608,0.376
1609,0.311
1610,0.341
1611,0.37
1612,0.29
1613,0.29
1614,0.308
1615,0.318
1616,0.288
1617,0.3
1618,0.363
1619,0.334
1620,0.263
1621,0.246
1622,0.264
1623,0.341
1624,0.335
1625,0.366
1626,0.315
1627,0.378
1628,0.164
1629,0.158
1630,0.151
1631,0.176
1632,0.118
1633,0.157
1634,0.141
1635,0.143
1636,0.145
1637,0.144
1638,0.167
1639,0.134
1640,0.137
1641,0.154
1642,0.129
1643,0.146
1644,0.138
1645,0.139
1646,0.134
1647,0.124
1648,0.114
1649,0.116
1650,0.135
1651,0.142
1652,0.137
1653,0.149
1654,0.146
1655,0.146
1656,0.137
1657,0.135
1658,0.162
1659,0.139
1660,0.137
1661,0.125
1662,0.132
1663,0.121
1664,0.119
1665,0.159
1666,0.113
1667,0.122
1668,0.141
1669,0.119
1670,0.134
1671,0.125
1672,0.131
1673,0.126
1674,0.113
1675,0.098
1676,0.112
1677,0.136
1678,0.124
1679,0.122
1680,0.137
1681,0.121
1682,0.169
1683,0.156
1684,0.153
1685,0.186
1686,0.148
1687,0.155
1688,0.15
1689,0.157
1690,0.137
1691,0.174
1692,0.178
1693,0.129
1694,0.155
1695,0.153
1696,0.139
1697,0.16
1698,0.159
1699,0.153
1700,0.15
1701,0.135
1702,0.127
1703,0.133
1704,0.156
1705,0.147
1706,0.162
1707,0.155
1708,0.159
1709,0.299
1710,0.294
1711,0.284
1712,0.323
1713,0.24
1714,0.343
1715,0.295
1716,0.344
1717,0.269
1718,0.292
1719,0.334
1720,0.253
1721,0.311
1722,0.263
1723,0.247
1724,0.248
1725,0.251
1726,0.304
1727,0.274
1728,0.226
1729,0.193
1730,0.227
1731,0.294
1732,0.286
1733,0.319
1734,0.273
1735,0.33
1736,0.369
1737,0.358
1738,0.352
1739,0.371
1740,0.321
1741,0.454
1742,0.345
1743,0.383
1744,0.315
1745,0.669
1746,0.389
1747,0.334
1748,0.333
1749,0.367
1750,0.378
1751,0.328
1752,0.315
1753,0.354
1754,0.343
1755,0.288
1756,0.274
1757,0.288
1758,0.375
1759,0.332
1760,0.367
1761,0.318
1762,0.413
1763,0.128
1764,0.129
1765,0.113
1766,0.126
1767,0.12
1768,0.113
1769,0.122
1770,0.126
1771,0.116
1772,0.13
1773,0.118
1774,0.102
1775,0.104
1776,0.111
1777,0.113
1778,0.114
1779,0.103
1780,0.104
1781,0.123
1782,0.116
1783,0.117
1784,0.103
1785,0.103
1786,0.116
1787,0.102
1788,0.114
1789,0.12
1790,0.199
1791,0.212
1792,0.204
1793,0.208
1794,0.172
1795,0.233
1796,0.236
1797,0.214
1798,0.229
1799,0.214
1800,0.228
1801,0.203
1802,0.215
1803,0.202
1804,0.175
1805,0.212
1806,0.215
1807,0.22
1808,0.204
1809,0.175
1810,0.18
1811,0.162
1812,0.194
1813,0.289
1814,0.195
1815,0.328
1816,0.295
1817,0.285
1818,0.295
1819,0.213
1820,0.286
1821,0.316
1822,0.28
1823,0.364
1824,0.292
1825,0.312
1826,0.277
1827,0.282
1828,0.287
1829,0.247
1830,0.294
1831,0.297
1832,0.308
1833,0.271
1834,0.238
1835,0.258
1836,0.276
1837,0.271
1838,0.361
1839,0.249
1840,0.445
1841,0.416
1842,0.407
1843,0.39
1844,0.29
1845,0.409
1846,0.65
1847,0.382
1848,0.472
1849,0.406
1850,0.402
1851,0.362
1852,0.397
1853,0.399
1854,0.373
1855,0.451
1856,0.428
1857,0.351
1858,0.365
1859,0.349
1860,0.354
1861,0.323
1862,0.354
1863,0.655
1864,0.398
1865,0.158
1866,0.165
1867,0.165
1868,0.169
1869,0.127
1870,0.146
1871,0.148
1872,0.144
1873,0.178
1874,0.153
1875,0.159
1876,0.139
1877,0.139
1878,0.146
1879,0.142
1880,0.159
1881,0.156
1882,0.156
1883,0.143
1884,0.128
1885,0.135
1886,0.148
1887,0.141
1888,0.2
1889,0.158
1890,0.136
1891,0.133
1892,0.127
1893,0.132
1894,0.1
1895,0.137
1896,0.136
1897,0.129
1898,0.155
1899,0.131
1900,0.133
1901,0.118
1902,0.128
1903,0.117
1904,0.122
1905,0.144
1906,0.139
1907,0.131
1908,0.118
1909,0.104
1910,0.099
1911,0.125
1912,0.123
1913,0.189
1914,0.117
1915,0.146
1916,0.147
1917,0.148
1918,0.129
1919,0.113
1920,0.149
1921,0.151
1922,0.14
1923,0.167
1924,0.138
1925,0.149
1926,0.124
1927,0.143
1928,0.126
1929,0.144
1930,0.148
1931,0.133
1932,0.15
1933,0.128
1934,0.12
1935,0.113
1936,0.135
1937,0.148
1938,0.183
1939,0.123
1940,0.37
1941,0.352
1942,0.346
1943,0.336
1944,0.235
1945,0.354
1946,0.497
1947,0.333
1948,0.422
1949,0.374
1950,0.355
1951,0.297
1952,0.342
1953,0.347
1954,0.303
1955,0.377
1956,0.36
1957,0.317
1958,0.319
1959,0.293
1960,0.307
1961,0.282
1962,0.301
1963,0.513
1964,0.313
1965,0.449
1966,0.384
1967,0.422
1968,0.407
1969,0.338
1970,0.394
1971,0.753
1972,0.405
1973,0.501
1974,0.426
1975,0.435
1976,0.381
1977,0.365
1978,0.452
1979,0.371
1980,0.4
1981,0.434
1982,0.404
1983,0.365
1984,0.379
1985,0.357
1986,0.343
1987,0.385
1988,0.631
1989,0.429
1990,0.121
1991,0.112
1992,0.171
1993,0.103
1994,0.113
1995,0.11
1996,0.105
1997,0.112
1998,0.103
1999,0.108
2000,0.105
2001,0.08
2002,0.115
2003,0.121
2004,0.101
2005,0.102
2006,0.095
2007,0.106
2008,0.12
2009,0.107
2010,0.098
2011,0.113
2012,0.095
2013,0.097
2014,0.112
2015,0.253
2016,0.221
2017,0.246
2018,0.212
2019,0.234
2020,0.24
2021,0.236
2022,0.609
2023,0.223
2024,0.268
2025,0.345
2026,0.225
2027,0.177
2028,0.226
2029,0.256
2030,0.189
2031,0.179
2032,0.202
2033,0.253
2034,0.205
2035,0.207
2036,0.217
2037,0.226
2038,0.205
2039,0.208
2040,0.234
2041,0.213
2042,0.267
2043,0.259
2044,0.353
2045,0.293
2046,0.34
2047,0.291
2048,0.324
2049,0.324
2050,0.33
2051,0.627
2052,0.301
2053,0.378
2054,0.427
2055,0.334
2056,0.244
2057,0.341
2058,0.37
2059,0.305
2060,0.274
2061,0.3
2062,0.343
2063,0.301
2064,0.355
2065,0.309
2066,0.304
2067,0.313
2068,0.301
2069,0.356
2070,0.325
2071,0.372
2072,0.352
2073,0.426
2074,0.459
2075,0.443
2076,0.383
2077,0.432
2078,0.428
2079,0.418
2080,0.713
2081,0.398
2082,0.499
2083,0.67
2084,0.444
2085,0.363
2086,0.428
2087,0.488
2088,0.381
2089,0.36
2090,0.405
2091,0.443
2092,0.448
2093,0.462
2094,0.39
2095,0.409
2096,0.473
2097,0.423
2098,0.42
2099,0.345
2100,0.492
2101,0.428
2102,0.186
2103,0.194
2104,0.186
2105,0.173
2106,0.17
2107,0.187
2108,0.179
2109,0.193
2110,0.174
2111,0.206
2112,0.229
2113,0.176
2114,0.135
2115,0.164
2116,0.192
2117,0.173
2118,0.161
2119,0.16
2120,0.197
2121,0.172
2122,0.179
2123,0.156
2124,0.166
2125,0.171
2126,0.159
2127,0.18
2128,0.18
2129,0.215
2130,0.187
2131,0.168
2132,0.162
2133,0.166
2134,0.157
2135,0.161
2136,0.163
2137,0.174
2138,0.168
2139,0.156
2140,0.174
2141,0.189
